Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
Infinity,500.7097963631833,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
Infinity,497.7192733135133,Infinity,501.6703153140118,504.33607974479634,528.598427888616,Infinity,Infinity,Infinity,Infinity,Infinity,549.0423990420891,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,541.6404506608471
Infinity,501.68978243036855,Infinity,503.5961862226691,Infinity,528.3948857034253,538.1540845933813,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,544.6015181205577
Infinity,500.7803664073714,Infinity,501.0664893787678,503.9361925567573,Infinity,534.5820275756655,Infinity,509.54881589164074,Infinity,Infinity,Infinity,536.9450956444144,Infinity,532.4881272200146,498.2895791403371,Infinity,Infinity,Infinity,542.6326277592054
Infinity,500.894272552544,Infinity,501.7468021194661,506.9385438453367,529.12438711107,532.173446968774,Infinity,509.7991496460506,Infinity,Infinity,548.5548125254586,538.5295903349839,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
Infinity,500.0740797261215,526.4306038251066,504.0702034876491,506.60815781520284,530.9593566021655,533.7663062464019,Infinity,506.84018508946536,Infinity,Infinity,Infinity,538.8460550016047,504.84973664070384,535.0589873845439,Infinity,Infinity,Infinity,Infinity,543.1230707873611
540.5856331663921,499.5500900174031,524.4576446047953,501.5651310444152,503.424116227827,530.0196654691902,533.7338983892938,Infinity,Infinity,Infinity,Infinity,Infinity,539.1081664788506,504.5045253937081,534.3014564276586,Infinity,Infinity,Infinity,Infinity,543.61990191748
Infinity,497.22978946481464,531.5429527559251,502.4946180438461,504.8157003011266,529.2391473986809,533.9769281359642,Infinity,509.00974851502815,Infinity,Infinity,550.1747964159017,538.917092003527,Infinity,Infinity,495.52119136835415,Infinity,Infinity,Infinity,543.4704094122822
541.1347136741759,499.22778097269565,525.7726170336211,501.764064865704,504.76813409700037,531.6391719724365,534.4827531439075,Infinity,510.86760533385973,Infinity,Infinity,Infinity,538.8050339580863,Infinity,530.4140937338559,494.24523774880134,Infinity,Infinity,Infinity,542.648579541778
