Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
Infinity,Infinity,Infinity,501.2364875589107,Infinity,530.8696727405841,538.1519404355364,Infinity,509.71828252209417,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,520.1931248482778,Infinity,Infinity
Infinity,499.42436373795124,529.3623911047965,Infinity,Infinity,Infinity,536.804022140234,Infinity,504.88327206390136,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,495.9927256376106,Infinity,Infinity,Infinity,541.7260827924438
Infinity,499.41321566826207,526.4500813794306,499.98068566348735,507.4632990211743,529.3044948969435,536.5906169742103,Infinity,507.16979499684584,Infinity,Infinity,Infinity,Infinity,Infinity,532.0092201713151,Infinity,502.6046831940908,Infinity,Infinity,543.1151869519193
Infinity,500.6220888151323,528.4312654011658,501.90616036865464,504.52252708490045,531.0775298794696,537.4265021348428,Infinity,509.34732426876695,Infinity,Infinity,Infinity,538.172455862112,Infinity,Infinity,495.48453623089273,Infinity,Infinity,Infinity,541.0192986676203
539.7030101577675,499.69670726185217,526.1865630823619,502.8301692347675,502.4723432846655,528.4801344807793,535.215522464634,Infinity,508.03441677541656,Infinity,Infinity,549.9846784413807,Infinity,Infinity,Infinity,493.603770085471,Infinity,Infinity,Infinity,544.2528506453591
540.0770029325608,499.742074407677,527.8282883676418,499.1873262423597,504.72962873368726,527.6954873287497,535.5401664810812,Infinity,510.96829178884093,Infinity,Infinity,550.775299267087,536.9885719340778,507.0798252785928,532.6093667763648,495.34463676255734,Infinity,Infinity,Infinity,544.2163669776876
544.0086958737991,496.696045121695,529.1046770810966,500.9901231382208,505.44858999613035,530.4884999587449,537.786859493541,Infinity,Infinity,Infinity,Infinity,Infinity,538.6558938880688,Infinity,Infinity,495.1006538149489,Infinity,Infinity,Infinity,544.26654088557
Infinity,496.14869095563097,527.1867192154064,502.30886712962234,505.1284120145465,530.3040947596656,533.5479586421752,Infinity,508.00374978482625,Infinity,Infinity,549.6042778445784,537.4144598987442,Infinity,531.583491534638,494.8038468036899,Infinity,Infinity,520.132610238449,541.9356714471746
541.1347136741759,499.22778097269565,525.7726170336211,501.764064865704,504.76813409700037,531.6391719724365,534.4827531439075,Infinity,510.86760533385973,Infinity,Infinity,Infinity,538.8050339580863,Infinity,530.4140937338559,494.24523774880134,Infinity,Infinity,Infinity,542.648579541778
